Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
CU73,100n,C_0603_1608Metric,193.7875,-125.355736,180.0,top
CU74,100n,C_0603_1608Metric,189.5865,-133.466236,180.0,top
CU75,100n,C_0603_1608Metric,196.25,-142.800736,180.0,top
CU76,100n,C_0603_1608Metric,191.65,-151.488736,180.0,top
CU77,100n,C_0603_1608Metric,194.35,-165.488736,180.0,top
CU78,100n,C_0603_1608Metric,189.839,-174.288736,180.0,top
CU79,100n,C_0603_1608Metric,197.097,-228.56875,180.0,top
CU80,100n,C_0603_1608Metric,192.597,-237.06875,180.0,top
CU81,100n,C_0603_1608Metric,198.696504,-56.450736,180.0,top
CU82,100n,C_0603_1608Metric,194.160504,-65.450736,180.0,top
CU83,100n,C_0603_1608Metric,207.8875,-125.355736,180.0,top
CU84,100n,C_0603_1608Metric,203.6865,-133.466236,180.0,top
CU85,100n,C_0603_1608Metric,210.35,-142.800736,180.0,top
CU86,100n,C_0603_1608Metric,205.75,-151.488736,180.0,top
CU87,100n,C_0603_1608Metric,208.45,-165.488736,180.0,top
CU88,100n,C_0603_1608Metric,203.939,-174.288736,180.0,top
CU89,100n,C_0603_1608Metric,211.197,-228.56875,180.0,top
CU90,100n,C_0603_1608Metric,206.697,-237.06875,180.0,top
CU91,100n,C_0603_1608Metric,212.796505,-56.450736,180.0,top
CU92,100n,C_0603_1608Metric,208.260505,-65.450736,180.0,top
CU93,100n,C_0603_1608Metric,221.9875,-125.355736,180.0,top
CU94,100n,C_0603_1608Metric,217.7865,-133.466236,180.0,top
CU95,100n,C_0603_1608Metric,224.45,-142.800736,180.0,top
CU96,100n,C_0603_1608Metric,219.85,-151.488736,180.0,top
CU97,100n,C_0603_1608Metric,222.55,-165.488736,180.0,top
CU98,100n,C_0603_1608Metric,218.039,-174.288736,180.0,top
CU99,100n,C_0603_1608Metric,225.297,-228.56875,180.0,top
CU100,100n,C_0603_1608Metric,220.797,-237.06875,180.0,top
CU101,100n,C_0603_1608Metric,226.896505,-56.450736,180.0,top
CU102,100n,C_0603_1608Metric,222.360505,-65.450736,180.0,top
CU103,100n,C_0603_1608Metric,236.0875,-125.405736,180.0,top
CU104,100n,C_0603_1608Metric,231.8865,-133.516236,180.0,top
CU105,100n,C_0603_1608Metric,238.55,-142.850736,180.0,top
CU106,100n,C_0603_1608Metric,233.95,-151.538736,180.0,top
CU107,100n,C_0603_1608Metric,236.65,-165.538736,180.0,top
CU108,100n,C_0603_1608Metric,232.139,-174.338736,180.0,top
CU109,100n,C_0603_1608Metric,239.397,-228.61875,180.0,top
CU110,100n,C_0603_1608Metric,234.897,-237.11875,180.0,top
CU111,100n,C_0603_1608Metric,240.996505,-56.500736,180.0,top
CU112,100n,C_0603_1608Metric,236.460505,-65.500736,180.0,top
CU113,100n,C_0603_1608Metric,250.1875,-125.405,180.0,top
CU114,100n,C_0603_1608Metric,245.9865,-133.5155,180.0,top
CU115,100n,C_0603_1608Metric,252.65,-142.85,180.0,top
CU116,100n,C_0603_1608Metric,248.05,-151.538,180.0,top
CU117,100n,C_0603_1608Metric,250.75,-165.538,180.0,top
CU118,100n,C_0603_1608Metric,246.239,-174.338,180.0,top
CU119,100n,C_0603_1608Metric,253.497,-228.618014,180.0,top
CU120,100n,C_0603_1608Metric,248.997,-237.118014,180.0,top
CU121,100n,C_0603_1608Metric,255.096505,-56.5,180.0,top
CU122,100n,C_0603_1608Metric,250.560505,-65.5,180.0,top
CU123,220u,C_Elec_6.3x5.8,140.414001,-271.18125,90.0,top
CU124,220u,C_Elec_6.3x5.8,120.839,-269.89825,90.0,top
CU125,220u,C_Elec_6.3x5.8,168.578,-271.2105,90.0,top
CU126,220u,C_Elec_6.3x5.8,149.003,-269.9275,90.0,top
CU127,220u,C_Elec_6.3x5.8,196.869173,-271.202529,90.0,top
